set,position,id,points,operations,reference_demand,scope,fingerprint
mogi-1,36,q-0675,6,雇用本人額→社会保険料等控除後給与→月額甲欄,月額表の行・扶養列、雇用率,複数段階,165fb21701f3f083b671f2a8dd67889c59c3c45e882fd93bb66ee14f8f73d898
mogi-1,37,q-0160,6,除外手当→時間単価→50銭丸め,本文条件,部分計算,5152e03cee34569aea8ce3459461f57a2d84153386781bf34c9c8e20cd7174ff
mogi-1,38,q-0677,6,除外手当→単価丸め→時間外と深夜の分割→合計,本文条件,複数段階,92dd78035174c8188b3bbb05b1b4ce36973c2e146c36eb30df8dd215c8c535a6
mogi-1,39,q-0227,6,法定休日と深夜の重複→1時間の総額,本文条件,部分計算,28ad0a0dec81db3c7accc968e2bf8aded753a27324eeffebb20fdc3b2b62d05c
mogi-1,40,q-0679,6,年齢→健康・支援金・厚年の本人額→合計,保険料率表,複数段階,8d2901e5431095508cd6a62bbe5f4d45c388d8f839703199342774cbf7e29cdf
mogi-2,36,q-0694,6,非課税支給と社会保険料等を区分→税額表の基礎,本文条件,部分計算,36683328a29b45810f8185f743e8b92d975dee13fe9397e58b842a4c393e8bfb
mogi-2,37,q-0228,6,月合計時間の丸め→時間外総額,本文条件,部分計算,3261215365d3fdf8656a6c4f0d4da4827b48fd7b149e902227c5213a8e8caa77
mogi-2,38,q-0701,6,非課税通勤と実費旅費を区分→課税給与,本文条件,部分計算,5997ceeeed4af489970281027f2d37e6a46dc6c8cb13017a0b061a408515a197
mogi-2,39,q-0233,6,時間外率→2時間の総額,本文条件,部分計算,fed016a9f7d65fe3e7e27a369248f93d6b7f4396593e67d0394e416b793b8ba1
mogi-2,40,q-0734,6,報酬帯→標準報酬→健康・支援金の本人額,等級表。率は本文提示,複数段階,d0bf86151d1e36fc7d5aaca9b16291b7ad1d86c2719382a61ffc681aff96983a
mogi-3,36,q-0749,6,介護第2号→介護本人額だけ,本文条件,部分計算,439d4501745c882927088e141682b333310a6a20d648321805a6729c7488712f
mogi-3,37,q-0229,6,時間単価→50銭境界の丸め,本文条件,部分計算,a3bef243812a9d3b9f91cdfeb2fd52b06897b7f066ba1eaa2221cd98662ce69e
mogi-3,38,q-0827,6,健康・支援金・厚年・雇用→前月で賞与率選択→賞与税,賞与甲欄の帯・扶養列。率は本文にも提示,複数段階,410e59498655df0f6ecbd970639c1b3589846fb1ce606604d80ea33bd45c9762
mogi-3,39,q-0246,6,規程の控除単価→45分の換算→不就労控除→最終丸め,本文の規程,複数段階,ef5273aecb968d8cb79cbd9833b3d4aea452ca460a34beb87513f63bc64680f6
mogi-3,40,q-0829,6,健康・支援金・厚年・雇用→月額甲欄→手取り,保険料率・月額税額表・雇用率,総合計算,b7f8f48b69534c66bc38400584398a897b76310840ffd471216217337f8d66a9
