id,change,fields,reason,merged_into,approval
q-0001,修正,lesson source_keys,延長の例外を区別する基礎境界。通常育休と出生時育休の混同防止に維持。 本文・全選択肢・正答・解説・登録済み誤答説明を照合。全体の範囲網羅性、他の全設問との類似及び模試セット評価は別途未完了。 賃金支払レッスンへの誤配置を労働時間・休業レッスンへ修正。,,complete
q-0003,修正,explanation,雇入れ直後と将来の変更範囲を比較する。2024年追加事項として維持。 本文・全選択肢・正答・解説・登録済み誤答説明を照合。全体の範囲網羅性、他の全設問との類似及び模試セット評価は別途未完了。,,complete
q-0004,修正,choices,旧Aの「予告して解除できる」も成立する曖昧さを除去。権利と義務を区別できる。 本文・全選択肢・正答・解説・登録済み誤答説明を照合。全体の範囲網羅性、他の全設問との類似及び模試セット評価は別途未完了。,,complete
q-0005,修正,study_tier topic_key,q-0028の同じ下限判断を統合し本問を通常コア化。人数と単位を同時に判断できる。 本文・全選択肢・正答・解説・登録済み誤答説明を照合。全体の範囲網羅性、他の全設問との類似及び模試セット評価は別途未完了。 学習目標を就業規則の専用論点rules.work-rulesに対応付けた。同じ就業規則技能であり、旧q-0028の習熟は移行しない。,,complete
q-0008,修正,choices question_text,過半数組合不存在の条件と意見／同意の区別を明確化。改訂後は正答一意。 本文・全選択肢・正答・解説・登録済み誤答説明を照合。全体の範囲網羅性、他の全設問との類似及び模試セット評価は別途未完了。,,complete
q-0009,修正,source_keys,電子媒体に保存するだけでは足りないことを説明している。表参照不要。 本文・全選択肢・正答・解説・登録済み誤答説明を照合。全体の範囲網羅性、他の全設問との類似及び模試セット評価は別途未完了。,,complete
q-0013,修正,explanation,合理性の判断要素と個別に変更しないと合意した条件の例外を補足。 本文・全選択肢・正答・解説・登録済み誤答説明を照合。全体の範囲網羅性、他の全設問との類似及び模試セット評価は別途未完了。,,complete
q-0015,修正,explanation,業務内容・責任と配置変更の範囲を照合する均等待遇。q-0014の均衡待遇と区別する。 本文・全選択肢・正答・解説・登録済み誤答説明を照合。全体の範囲網羅性、他の全設問との類似及び模試セット評価は別途未完了。,,complete
q-0017,修正,question_text,予告日数の下限を問うよう修正。除外者を含まない条件で比較可能。 本文・全選択肢・正答・解説・登録済み誤答説明を照合。全体の範囲網羅性、他の全設問との類似及び模試セット評価は別途未完了。,,complete
q-0021,修正,explanation,繰越を必ず求める説明を除き、当期上限と1回上限を両方守る説明に修正。 本文・全選択肢・正答・解説・登録済み誤答説明を照合。全体の範囲網羅性、他の全設問との類似及び模試セット評価は別途未完了。,,complete
q-0022,修正,explanation,退職に伴う特別な支払期限を確認。一部紛争の場合も非紛争部分は期限内と補足。 本文・全選択肢・正答・解説・登録済み誤答説明を照合。全体の範囲網羅性、他の全設問との類似及び模試セット評価は別途未完了。,,complete
q-0024,修正,explanation,治療費と休業中の所得補償を区別する。労災保険相当給付による補償責任免除を補足。 本文・全選択肢・正答・解説・登録済み誤答説明を照合。全体の範囲網羅性、他の全設問との類似及び模試セット評価は別途未完了。,,complete
q-0025,修正,explanation,療養補償との違いと算定基礎を説明。保険給付との責任関係も補った。 本文・全選択肢・正答・解説・登録済み誤答説明を照合。全体の範囲網羅性、他の全設問との類似及び模試セット評価は別途未完了。,,complete
q-0026,修正,question_text,法定内残業と混同しないよう法定時間外と明記し、実例で法令優先を学べる。 本文・全選択肢・正答・解説・登録済み誤答説明を照合。全体の範囲網羅性、他の全設問との類似及び模試セット評価は別途未完了。,,complete
q-0027,修正,choices explanation,周知を合理性の一要素と混同した記述を修正し、独立した要件とした。 本文・全選択肢・正答・解説・登録済み誤答説明を照合。全体の範囲網羅性、他の全設問との類似及び模試セット評価は別途未完了。,,complete
q-0028,退役,,事業場で常時10人以上という同じ下限判断。q-0005は事業場単位も併せて問うため残し通常コアへ変更する。旧IDの解答・習熟履歴を保持し、統合先への習熟の自動移行はしない。,q-0005,retired
q-0031,修正,explanation,協定だけで本人の積立参加・負担義務まで成立する誤解を避ける説明を補足。 本文・全選択肢・正答・解説・登録済み誤答説明を照合。全体の範囲網羅性、他の全設問との類似及び模試セット評価は別途未完了。,,complete
q-0034,修正,source_keys,最低時間を問うため任意に長く休むケースと混同しない。q-0040の6時間境界を本問へ統合。 全体の範囲・他の全設問との類似・模試セット評価は未完了。,,complete
q-0035,修正,choices explanation source_keys,電話が鳴らない待機も含む実態判断。q-0044の統合先として維持。 全体の範囲・他の全設問との類似・模試セット評価は未完了。,,complete
q-0036,修正,choices common_mistake difficulty distractor_feedback explanation misconception_key question_text role source_keys,通常q-0068と同じ日数の暗記から、起算日を固定した変形休日制のケース適用へ修正。知識枠を維持。 全体の範囲・他の全設問との類似・模試セット評価は未完了。,,complete
q-0037,修正,source_keys,休日区分と週の法定時間外を別々に判断する。設問は週超過なしと指定。 全体の範囲・他の全設問との類似・模試セット評価は未完了。,,complete
q-0038,修正,source_keys,原則を問うため変形制等の個別日上限とは区別。q-0039適用の前提として維持。 全体の範囲・他の全設問との類似・模試セット評価は未完了。,,complete
q-0039,修正,question_text source_keys,休憩除外・法定休日ではない・変形制なし・週追加超過なしの条件を補った現行版を確認。 全体の範囲・他の全設問との類似・模試セット評価は未完了。,,complete
q-0040,退役,,6時間ちょうどの最低休憩という同じ境界判断はq-0034の全肢比較で扱う。 異なる応用条件がないため統合。旧履歴を保持して配信停止し、統合先への習熟自動移行は行わない。,q-0034,retired
q-0041,修正,choices common_mistake distractor_feedback explanation question_text role source_keys,q-0034の単なる8時間境界の再出題を、残業後の必要休憩の再判定に改訂。金額計算ではなく知識適用枠。 全体の範囲・他の全設問との類似・模試セット評価は未完了。,,complete
q-0042,修正,source_keys,量だけでなく与える時点を学ぶ。q-0041の残業ケースとは観点を分ける。 全体の範囲・他の全設問との類似・模試セット評価は未完了。,,complete
q-0043,修正,source_keys,原則対象の事業場という限定あり。法令による業種例外は別枠として説明。 全体の範囲・他の全設問との類似・模試セット評価は未完了。,,complete
q-0044,退役,,電話当番の待機は休憩でなく労働時間という同じ判断。条件を明確にした通常コアq-0035に統合する。旧IDの解答・習熟履歴を保持し、統合先への習熟の自動移行はしない。,q-0035,retired
q-0045,退役,,6時間超8時間以下の最低休憩45分という同じ判断。複数の境界を比較する通常コアq-0034に統合する。旧IDの解答・習熟履歴を保持し、統合先への習熟の自動移行はしない。,q-0034,retired
q-0046,修正,category source_keys,基本3原則を組み合わせる補強として維持。年休という誤ったカテゴリを休憩へ修正。 全体の範囲・他の全設問との類似・模試セット評価は未完了。,,complete
q-0047,修正,explanation question_text source_keys,予定日＝出生日を指定した現行版を確認。早産・予定日超過の起算点と末日を条文に合わせて説明。 全体の範囲・他の全設問との類似・模試セット評価は未完了。,,complete
q-0048,修正,source_keys,原則最初に2回分まとめて申出することも確認。通常育休の2回とは別枠。 全体の範囲・他の全設問との類似・模試セット評価は未完了。,,complete
q-0049,修正,source_keys,要介護状態ごとに93日を更新しない点まで説明。介護休暇の年5・10日と別制度。 全体の範囲・他の全設問との類似・模試セット評価は未完了。,,complete
q-0050,修正,question_text source_keys,所定外労働の制限の年齢範囲を確認。事業正常運営等の例外を解説で限定。 全体の範囲・他の全設問との類似・模試セット評価は未完了。,,complete
q-0051,修正,source_keys,事業主が任意に除外できるとはせず、業務性質・労使協定・代替措置の条件を確認。 全体の範囲・他の全設問との類似・模試セット評価は未完了。,,complete
q-0052,修正,explanation source_keys,2025年10月施行日と全5措置を補足。3歳未満の短時間勤務義務と分ける。 全体の範囲・他の全設問との類似・模試セット評価は未完了。,,complete
q-0053,修正,explanation question_text source_keys,要介護状態の対象家族という範囲を明示。2025年4月施行の努力義務と確認。 全体の範囲・他の全設問との類似・模試セット評価は未完了。,,complete
q-0054,修正,source_keys,不利益取扱い禁止と休業中の賃金支払義務を分ける基礎として維持。 全体の範囲・他の全設問との類似・模試セット評価は未完了。,,complete
q-0055,修正,source_keys,外勤・テレワークという名称だけで適用しない。q-0058の同じ要件判断を統合。 全体の範囲・他の全設問との類似・模試セット評価は未完了。,,complete
q-0056,修正,explanation question_text source_keys,内外合計で通常所定内という条件を明示し、通常必要時間＋内勤実時間との混同を防止。 全体の範囲・他の全設問との類似・模試セット評価は未完了。,,complete
