topic,objective,chapter_mapping,normal_ids,normal_core_ids,mock_ids,scope_verification
attendance.break-minimum,労働時間の境界に応じた最低休憩時間と自由利用原則を判断できる,勤怠欄,q-0034 q-0035,q-0034 q-0035,,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
attendance.statutory-holiday,法定休日の最低基準と所定休日を区別できる,勤怠欄,q-0037,q-0037,q-0036,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
attendance.statutory-hours,法定労働時間と会社が定める所定労働時間を区別できる,勤怠欄,q-0039,q-0039,q-0038,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
bonus.insurance,標準賞与額と料率から賞与の社会保険料を計算できる,賞与計算のしかた,q-0777 q-0779 q-0780 q-0781 q-0782 q-0784 q-0785 q-0786 q-0787 q-0788 q-0789 q-0790,q-0780 q-0782,q-0778,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
bonus.leave-exemption,賞与支給月の育児休業等に係る保険料免除要件を判断できる,賞与計算のしかた,q-0791 q-0794 q-0795,q-0794 q-0795,q-0792 q-0793,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
bonus.net-pay,賞与から社会保険料と源泉所得税を控除して手取り額を計算できる,賞与計算のしかた,q-0797 q-0799 q-0800,q-0797 q-0800,,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
bonus.standard,賞与の定義、標準賞与額、累計上限を判断できる,賞与計算のしかた,q-0801 q-0803 q-0809 q-0811 q-0812,q-0801 q-0803,,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
bonus.standard-amount,標準賞与額の端数処理と保険別上限を適用できる,賞与計算のしかた,q-0625,q-0625,q-0626,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
bonus.withholding,前月給与と扶養人数から賞与の源泉徴収税率・税額を判断できる,賞与計算のしかた,q-0802 q-0815 q-0818 q-0826,q-0815,,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
bonus.withholding-method,通常の賞与に対する源泉所得税の計算手順を選べる,賞与計算のしかた,q-0394,q-0394,q-0837,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
calculation.bonus-withholding,賞与の社会保険料等控除後額と前月給与から源泉所得税を計算できる,賞与計算のしかた,q-0828,q-0828,q-0827,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
calculation.monthly-withholding,社会保険料等控除後給与と扶養親族等の数から月額表の税額を求められる,給与計算の演習問題,q-0676,q-0676,q-0675,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
calculation.net-pay,支給項目と控除項目を順序立てて集計し差引支給額を計算できる,給与計算の演習問題,q-0830,q-0830,q-0829,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
calculation.overtime-pay,算定基礎・時間単価・重複割増・端数処理を通して割増賃金を計算できる,給与計算の演習問題,q-0678,q-0678,q-0677,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
calculation.social-insurance,年齢と料率表を使い社会保険の被保険者負担を項目別に計算できる,給与計算の演習問題,q-0831,q-0831,q-0679,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
commute.car-distance-limit,マイカー等の通勤距離別非課税限度額を使って課税額を計算できる,支給項目欄,q-0248 q-0836,q-0248 q-0836,q-0249,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
commute.car-under-2km,片道2km未満のマイカー等通勤手当の課税区分を判断できる,支給項目欄,q-0250,q-0250,q-0251,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
commute.public-transport-limit,公共交通機関の合理的運賃等に対する非課税限度額を適用できる,支給項目欄,q-0252,q-0252,q-0253,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
commute.tax-vs-social-insurance,通勤手当について所得税の非課税判定と社会保険の報酬判定を別々に行える,支給項目欄,q-0254,q-0254,q-0255,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
employment.benefits,雇用保険の被保険者要件と基本手当・育児休業給付等を判断できる,給与計算担当者が知っておきたい社会保険制度,q-0555 q-0556 q-0557 q-0558,q-0555 q-0558,,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
exam.scope,2級試験の出題範囲・構成・合格基準を正確に説明できる,試験案内（章外）,q-0348 q-0396,q-0348 q-0396,,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
labor-insurance.annual-renewal,労働保険年度更新で前年度確定保険料と当年度概算保険料を申告する流れを説明できる,社会保険の事務手続き,q-0684,q-0684,q-0673,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
labor.breaks,労働時間に応じた休憩時間と一斉付与・自由利用の原則を判断できる,勤怠欄,q-0042 q-0043 q-0046,q-0042 q-0043,q-0041,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
labor.childcare-care,育児・介護休業、子の看護等休暇、所定外労働制限を判断できる,給与計算担当者が知っておきたい法律,q-0001 q-0047 q-0048 q-0049 q-0050 q-0051 q-0052 q-0053 q-0054,q-0048 q-0049,,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
labor.conditions-rules,労働条件通知と就業規則の作成・届出・周知要件を判断できる,給与計算担当者が知っておきたい法律,q-0003 q-0004 q-0006 q-0007 q-0008 q-0009,q-0003,q-0002,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
labor.contract,有期契約・無期転換・労働契約の基本ルールを判断できる,給与計算担当者が知っておきたい法律,q-0010 q-0011 q-0012 q-0013,q-0010 q-0013,,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
labor.deemed-hours,事業場外みなし労働時間制の適用要件とみなし時間を判断できる,勤怠欄,q-0055 q-0056 q-0057,q-0055 q-0056,,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
labor.discretionary,裁量労働制の対象業務・導入手続・みなし時間を判断できる,勤怠欄,q-0059 q-0061 q-0062,q-0061 q-0062,q-0060,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
labor.flex,フレックスタイム制の清算期間・総労働時間・導入手続を判断できる,勤怠欄,q-0063 q-0064,q-0063 q-0064,q-0066 q-0067,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
labor.holidays,法定休日と所定休日、休日の付与方法を区別できる,勤怠欄,q-0068 q-0070 q-0071 q-0073 q-0075,q-0068 q-0073,q-0069 q-0072,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
labor.hours,法定・所定労働時間と法定内残業を具体例から判断できる,勤怠欄,q-0077 q-0078 q-0079 q-0080,q-0077 q-0080,q-0076,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
labor.insurance-calculation,労働保険料の賃金総額・料率・事業主労働者負担を計算できる,控除項目欄,q-0674 q-0680,q-0674 q-0680,q-0681 q-0682,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
labor.leave-grant,年次有給休暇の付与要件・付与日数・比例付与を判断できる,勤怠欄,q-0084 q-0085 q-0088 q-0089 q-0091 q-0092,q-0084 q-0085,q-0086 q-0093,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
labor.leave-use,年休の時季指定、年5日取得義務、計画的付与等を判断できる,勤怠欄,q-0094 q-0095 q-0096 q-0098 q-0099 q-0101 q-0103 q-0104 q-0105 q-0107 q-0109 q-0110 q-0111,q-0094 q-0096 q-0105,q-0097,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
labor.maternity,産前産後休業・妊産婦保護の期間と取扱いを判断できる,給与計算担当者が知っておきたい法律,q-0112 q-0113,q-0112 q-0113,,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
labor.overtime-agreement,時間外・休日労働協定の要否、限度時間、特別条項を判断できる,給与計算担当者が知っておきたい法律,q-0114 q-0116 q-0117 q-0118 q-0119 q-0121 q-0122 q-0127 q-0129,q-0114 q-0116 q-0122 q-0127,q-0115 q-0120,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
labor.part-time,短時間・有期雇用労働者の待遇・説明義務を判断できる,給与計算担当者が知っておきたい法律,q-0014 q-0015 q-0016,q-0014 q-0016,,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
labor.supervisor,管理監督者への労働時間・休憩・休日・深夜規制の適用を判断できる,勤怠欄,q-0130 q-0131,q-0130 q-0131,,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
labor.termination-compensation,解雇予告、休業手当、減給制裁等の要件・上限を判断できる,給与計算担当者が知っておきたい法律,q-0017 q-0018 q-0019 q-0020 q-0021 q-0022 q-0023 q-0024 q-0025,q-0022 q-0025,,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
labor.variable-hours,変形労働時間制の単位・導入手続・時間配分を判断できる,勤怠欄,q-0132 q-0133 q-0135 q-0138 q-0140 q-0141,q-0132 q-0135 q-0141,q-0134 q-0139,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
labor.workers-comp,業務災害・通勤災害と労災保険給付の基本を判断できる,給与計算担当者が知っておきたい法律,q-0559 q-0560 q-0561,q-0559 q-0560,,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
leave.five-day-duty,年5日の年休取得確保義務の対象者と控除できる取得日数を判断できる,勤怠欄,q-0142,q-0142,q-0143,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
leave.initial-grant,年次有給休暇の初回付与要件と日数を判断できる,勤怠欄,q-0144,q-0144,q-0145,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
payroll.absence-vs-disciplinary-reduction,不就労時間の賃金控除と制裁としての減給を区別できる,給与計算とは,q-0832,q-0832,q-0256 q-0257,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
payroll.annual-workflow,年間・月間の給与計算業務の流れと締切を正しい順序で判断できる,給与計算とは,q-0260,q-0260,q-0258 q-0259,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
payroll.integrated-components,給与計算に必要な支給・控除・勤怠情報を横断して分類できる,給与計算の演習問題,q-0686 q-0687 q-0688 q-0692 q-0693 q-0697 q-0698 q-0700,q-0686 q-0688,q-0685 q-0694,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
payroll.integrated-workflow,給与計算の一連の処理を横断し、各工程の入力・計算・確認を判断できる,給与計算の演習問題,q-0699 q-0702 q-0703 q-0705 q-0706 q-0708 q-0713 q-0717 q-0722 q-0724 q-0725 q-0726 q-0731 q-0732,q-0699 q-0706,q-0701 q-0712,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
payroll.my-number,給与実務におけるマイナンバーの取得・利用・保管・廃棄を適切に判断できる,給与計算とは,q-0563,q-0563,,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
payroll.mynumber-handling,給与・社会保険事務でのマイナンバーの利用目的、保管、廃棄を判断できる,給与計算とは,q-0833,q-0833,q-0261 q-0262,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
payroll.pay-cycle,締日・支払日・勤怠集計期間の関係を具体例から判断できる,給与計算とは,q-0265,q-0265,q-0263 q-0264,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
payroll.payslip,給与明細の支給・控除・勤怠項目を区分し、差引支給額との関係を説明できる,給与計算とは,q-0266 q-0267 q-0269,q-0266 q-0267,q-0268,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
payroll.workflow,勤怠確定から支給・控除計算、確認、支払までの処理順序を判断できる,給与計算とは,q-0270 q-0272 q-0274,q-0270,q-0271 q-0275,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
premium.base,割増賃金算定基礎への算入・除外賃金を支給実態から判断できる,支給項目欄,q-0147 q-0148 q-0149 q-0150 q-0151 q-0152 q-0153 q-0154 q-0155 q-0158 q-0159 q-0161 q-0162 q-0172 q-0173 q-0175,q-0147 q-0148 q-0149 q-0150 q-0161,q-0160,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
premium.calculation-base,割増賃金算定基礎から除外できる賃金を名称ではなく支給実態で判定できる,支給項目欄,q-0176,q-0176,q-0177,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
premium.holiday-deep-night,法定休日労働と深夜労働が重複する場合の割増率を判断できる,支給項目欄,q-0178,q-0178,q-0179,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
premium.over-60-hours,月60時間超の法定時間外と深夜の割増率を判断できる,支給項目欄,q-0180,q-0180,q-0181,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
premium.overtime-deep-night,法定時間外と深夜が重複する場合の割増率を合算できる,支給項目欄,q-0182,q-0182,q-0183,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
premium.rates,時間外・休日・深夜労働の割増率と重複時の率を判断できる,支給項目欄,q-0184 q-0185 q-0186 q-0190 q-0191 q-0192 q-0193 q-0196 q-0197 q-0209 q-0210 q-0211 q-0217 q-0218,q-0184,,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
premium.rounding,割増賃金額の端数処理を法令上認められる単位で適用できる,支給項目欄,q-0223 q-0224 q-0230 q-0232,q-0224 q-0232,q-0228 q-0229,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
premium.time-unit,割増賃金計算の時間数・時間単価の端数処理を適用できる,支給項目欄,q-0236,q-0236,q-0227 q-0233,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
rates.child-support-fund,子ども・子育て支援金と拠出金の率・負担者を区別できる,控除項目欄,q-0564,q-0564,q-0565,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
rates.employee-pension,厚生年金保険料率と被保険者負担相当率を区別できる,控除項目欄,q-0566,q-0566,q-0567,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
rates.employment-insurance,2026年度一般事業の雇用保険料率を労働者・事業主・合計に分けられる,控除項目欄,q-0568 q-0569,q-0568 q-0569,,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
rates.health-insurance-tokyo,2026年度東京支部の健康保険料率を資料から選び介護保険料率と区別できる,控除項目欄,q-0570 q-0571,q-0570 q-0571,,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
resident-tax.collection-period,住民税特別徴収の年度サイクルを説明できる,控除項目欄,q-0397,q-0397,q-0398,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
resident-tax.notified-amount,住民税特別徴収で会社が計算する部分と自治体通知に従う部分を区別できる,控除項目欄,q-0399,q-0399,q-0400,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
rules.labor-contract,労働契約と就業規則の関係、周知された合理的な就業規則の効力を判断できる,給与計算担当者が知っておきたい法律,q-0026 q-0027,q-0026 q-0027,,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
rules.work-rules,就業規則の作成義務と必要記載事項・意見聴取を判断できる,給与計算担当者が知っておきたい法律,q-0005,q-0005,q-0029,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
social.acquisition-determination,入社時の資格取得時決定の報酬見込、届出期限、適用期間を判断できる,社会保険の事務手続き,q-0652,q-0652,q-0651,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
social.base-days,一般被保険者と対象短時間労働者の支払基礎日数を区別できる,社会保険の事務手続き,q-0504,q-0504,q-0505,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
social.care,介護保険第2号被保険者の年齢境界と保険料徴収を判断できる,給与計算担当者が知っておきたい社会保険制度,q-0450 q-0572 q-0573 q-0575,q-0572 q-0573,,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
social.care-insurance-age,介護保険第2号被保険者の年齢境界を判断できる,給与計算担当者が知っておきたい社会保険制度,q-0576,q-0576,q-0577,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
social.dependents,健康保険の被扶養者認定要件と収入基準を判断できる,給与計算担当者が知っておきたい社会保険制度,q-0506 q-0508 q-0509 q-0510 q-0629 q-0630,q-0506 q-0508,q-0507 q-0628,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
social.employment-procedures,社会保険・雇用保険の資格取得喪失手続と期限を判断できる,社会保険の事務手続き,q-0578 q-0579,q-0578 q-0579,,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
social.health-benefits,健康保険の傷病手当金・出産手当金等の支給要件を判断できる,給与計算担当者が知っておきたい社会保険制度,q-0452 q-0453 q-0454 q-0580,q-0453,q-0451,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
social.health-insurers,健康保険の保険者・適用・給付主体を区別できる,給与計算担当者が知っておきたい社会保険制度,q-0460 q-0586 q-0587,q-0460 q-0586,q-0456,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
social.leave-exemption,産前産後・育児休業中の保険料免除要件と期間を判断できる,給与計算担当者が知っておきたい社会保険制度,q-0511 q-0512 q-0513 q-0588,q-0513,q-0632,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
social.loss-of-qualification-premium-month,資格喪失日の属する月の前月までという原則を月途中・月末退職に適用できる,給与計算担当者が知っておきたい社会保険制度,q-0639 q-0640,q-0639 q-0640,,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
social.monthly-revision,随時改定の固定的賃金変動・2等級差・3か月要件を判断できる,社会保険の事務手続き,q-0517 q-0518 q-0519 q-0522 q-0525 q-0526 q-0528 q-0647,q-0517 q-0526,q-0520 q-0523 q-0642,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
social.monthly-revision-requirements,随時改定の3要件を具体的な賃金変動に適用できる,社会保険の事務手続き,q-0530,q-0530,q-0531,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
social.pension-grade-range,厚生年金の標準報酬月額の等級範囲と上限を識別できる,給与計算担当者が知っておきたい社会保険制度,q-0834,q-0834,q-0457 q-0458,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
social.pension-insured-benefits,厚生年金の被保険者要件・年齢境界・主な給付を判断できる,給与計算担当者が知っておきたい社会保険制度,q-0455 q-0461 q-0589 q-0592 q-0593 q-0594 q-0595 q-0596,q-0455,q-0459,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
social.premium-calculation,標準報酬月額と料率から社会保険料・本人負担額を計算できる,給与計算担当者が知っておきたい社会保険制度,q-0738 q-0740 q-0741 q-0742 q-0743 q-0747 q-0748 q-0750 q-0751 q-0753 q-0759,q-0740,q-0734 q-0735 q-0749,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
social.qualification,社会保険の資格取得日・喪失日と保険料発生月を判断できる,社会保険の事務手続き,q-0533 q-0534 q-0540 q-0541 q-0542 q-0653 q-0654 q-0659 q-0663,q-0533 q-0541 q-0659 q-0663,q-0532 q-0536 q-0656,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
social.regular-determination,定時決定の対象月・支払基礎日数・改定時期を判断できる,社会保険の事務手続き,q-0462 q-0547 q-0548 q-0549 q-0550 q-0551 q-0552 q-0553 q-0554 q-0666,q-0462 q-0548 q-0550 q-0554,q-0463 q-0544 q-0671,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
social.remuneration-application,報酬月額を集計し、資格取得・定時決定・随時改定に適用できる,給与計算担当者が知っておきたい社会保険制度,q-0760 q-0761 q-0769 q-0770 q-0775,q-0760,q-0763 q-0768 q-0773,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
social.remuneration-rates,標準報酬月額・報酬範囲・保険料率と労使負担を判断できる,給与計算担当者が知っておきたい社会保険制度,q-0465 q-0466 q-0467 q-0469 q-0470 q-0471 q-0472 q-0474 q-0476 q-0478 q-0480 q-0481 q-0482 q-0483 q-0484 q-0485 q-0486 q-0487 q-0488 q-0489 q-0490 q-0605,q-0466,q-0464,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
social.remuneration-scope,標準報酬月額の対象となる現金・現物の報酬を判定できる,給与計算担当者が知っておきたい社会保険制度,q-0835,q-0835,q-0491 q-0492,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
social.retirement-health,退職後の健康保険の選択肢と加入要件を判断できる,給与計算担当者が知っておきたい社会保険制度,q-0610 q-0611,q-0610 q-0611,,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
social.short-worker,短時間労働者の社会保険適用要件を具体例から判断できる,給与計算担当者が知っておきたい社会保険制度,q-0494 q-0495 q-0496 q-0497 q-0498 q-0499 q-0500 q-0612 q-0617,q-0494,q-0493,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
social.short-worker-coverage,基準日時点の短時間労働者の社会保険適用要件を事例に適用できる,給与計算担当者が知っておきたい社会保険制度,q-0649,q-0649,q-0650,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
social.workplaces,社会保険の強制適用事業所・任意適用事業所を判断できる,給与計算担当者が知っておきたい社会保険制度,q-0502 q-0503 q-0621 q-0624,q-0503,q-0501,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
tax.dependents,源泉控除対象配偶者・扶養親族等の人数判定を行える,控除項目欄,q-0349 q-0351 q-0352 q-0353 q-0354 q-0355 q-0356 q-0357 q-0358,q-0349 q-0351,q-0350,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
tax.income-nontaxable,給与所得となる支給と非課税となる支給・限度額を判断できる,控除項目欄,q-0359 q-0360 q-0361 q-0406 q-0408 q-0409 q-0411 q-0412 q-0413,q-0359 q-0413,q-0363 q-0404,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
