id,baseline,topic,chapter_mapping,study_tier,mock,question,decision,verification,automatic_flags,fingerprint_matches
q-0001,True,labor.childcare-care,給与計算担当者が知っておきたい法律,reinforcement,,育児・介護休業法における通常の育児休業の期間と分割回数の原則はどれか。,revise,complete,,True
q-0002,True,labor.conditions-rules,給与計算担当者が知っておきたい法律,core,mogi-3,使用者が労働基準法に基づいて労働条件を明示する時期はいつか。,maintain,complete,,True
q-0003,True,labor.conditions-rules,給与計算担当者が知っておきたい法律,core,,2024年4月から、全ての労働契約の締結時などに追加された明示事項はどれか。,revise,complete,,True
q-0004,True,labor.conditions-rules,給与計算担当者が知っておきたい法律,reinforcement,,明示された労働条件が事実と異なっていた場合、労働者に認められる対応はどれか。,revise,complete,,True
q-0005,True,rules.work-rules,給与計算担当者が知っておきたい法律,core,,就業規則の作成義務を判断する単位と労働者数の基準はどれか。,revise,complete,,True
q-0006,True,labor.conditions-rules,給与計算担当者が知っておきたい法律,reinforcement,,就業規則に必ず記載しなければならない事項の組合せはどれか。,maintain,complete,,True
q-0007,True,labor.conditions-rules,給与計算担当者が知っておきたい法律,reinforcement,,就業規則の相対的必要記載事項に該当するものはどれか。,maintain,complete,,True
q-0008,True,labor.conditions-rules,給与計算担当者が知っておきたい法律,reinforcement,,過半数労働組合がない事業場で、就業規則を作成または変更するときの意見聴取として適切なものはどれか。,revise,complete,,True
q-0009,True,labor.conditions-rules,給与計算担当者が知っておきたい法律,reinforcement,,就業規則を労働者に周知する方法として適切なものはどれか。,revise,complete,,True
q-0010,True,labor.contract,給与計算担当者が知っておきたい法律,core,,労働契約法が定める労働契約の基本原則に該当するものはどれか。,maintain,complete,,True
q-0011,True,labor.contract,給与計算担当者が知っておきたい法律,reinforcement,,労働契約法上、解雇の有効性に関する説明として適切なものはどれか。,maintain,complete,,True
q-0012,True,labor.contract,給与計算担当者が知っておきたい法律,reinforcement,,有期労働契約の契約期間中に使用者が労働者を解雇する場合の原則はどれか。,maintain,complete,,True
q-0013,True,labor.contract,給与計算担当者が知っておきたい法律,core,,就業規則の変更によって労働条件を不利益に変更する場合の取扱いはどれか。,revise,complete,,True
