objective_id,group,public_scope_item,learning_objective,source_url,source_locator,normal_ids,normal_core_ids,mock_1_ids,mock_2_ids,mock_3_ids,assessment,finding,coverage_approval
official-01,勤怠項目関連,勤怠項目の基礎,勤怠明細の日数・時間を支給や控除の金額と区別する,https://jitsumu-up.jp/about/,2級で身につく知識と出題範囲／勤怠項目関連,q-0034 q-0035 q-0037 q-0039 q-0266 q-0267 q-0269 q-0270 q-0272 q-0274,q-0034 q-0035 q-0037 q-0039 q-0266 q-0267 q-0270,q-0036 q-0038 q-0268,q-0271,q-0275,基本・適用を収録,基本とケースあり。明細の実物を読む複合演習は公式本文との比較未検証。,未検証：公式2026年2級テキストの章内全範囲と照合できない
official-02,勤怠項目関連,勤怠項目に関する法規制等,所定と法定、休憩、休日、時間外の条件を判定する,https://jitsumu-up.jp/about/,2級で身につく知識と出題範囲／勤怠項目関連,q-0034 q-0035 q-0037 q-0039 q-0042 q-0043 q-0046 q-0055 q-0056 q-0057 q-0059 q-0061 q-0062 q-0063 q-0064 q-0068 q-0070 q-0071 q-0073 q-0075 q-0077 q-0078 q-0079 q-0080 q-0114 q-0116 q-0117 q-0118 q-0119 q-0121 q-0122 q-0127 q-0129 q-0130 q-0131 q-0132 q-0133 q-0135 q-0138 q-0140 q-0141,q-0034 q-0035 q-0037 q-0039 q-0042 q-0043 q-0055 q-0056 q-0061 q-0062 q-0063 q-0064 q-0068 q-0073 q-0077 q-0080 q-0114 q-0116 q-0122 q-0127 q-0130 q-0131 q-0132 q-0135 q-0141,q-0036 q-0038 q-0041 q-0060 q-0066 q-0069,q-0067 q-0072 q-0076 q-0115 q-0134,q-0120 q-0139,基本・適用を収録,基本と境界判断あり。変形制等の詳細が2級で要求される深さは公式本文未検証。,未検証：公式2026年2級テキストの章内全範囲と照合できない
official-03,勤怠項目関連,年次有給休暇に関する法規制等,付与条件・日数・取得方法・年5日の義務を判定する,https://jitsumu-up.jp/about/,2級で身につく知識と出題範囲／勤怠項目関連,q-0084 q-0085 q-0088 q-0089 q-0091 q-0092 q-0094 q-0095 q-0096 q-0098 q-0099 q-0101 q-0103 q-0104 q-0105 q-0107 q-0109 q-0110 q-0111 q-0142 q-0144,q-0084 q-0085 q-0094 q-0096 q-0105 q-0142 q-0144,,q-0086 q-0097 q-0143 q-0145,q-0093,基本・適用を収録,基本・ケース・比例付与表参照あり。,未検証：公式2026年2級テキストの章内全範囲と照合できない
official-04,勤怠項目関連,法律で義務付けられている休業・休暇の制度,産前産後・育児・介護の休業休暇の対象・期間を区別する,https://jitsumu-up.jp/about/,2級で身につく知識と出題範囲／勤怠項目関連,q-0001 q-0047 q-0048 q-0049 q-0050 q-0051 q-0052 q-0053 q-0054 q-0112 q-0113,q-0048 q-0049 q-0112 q-0113,,,,基本・適用を収録,基本とケースあり。各制度の全例外の出題範囲は公式本文未検証。,未検証：公式2026年2級テキストの章内全範囲と照合できない
official-05,支給項目関連,支給項目の基礎,基本給・手当・総支給を区分し給与明細を読む,https://jitsumu-up.jp/about/,2級で身につく知識と出題範囲／支給項目関連,q-0266 q-0267 q-0269 q-0289 q-0291 q-0294 q-0295 q-0297 q-0298 q-0300 q-0334 q-0686 q-0687 q-0688 q-0692 q-0693 q-0697 q-0698 q-0699 q-0700 q-0702 q-0703 q-0705 q-0706 q-0708 q-0713 q-0717 q-0722 q-0724 q-0725 q-0726 q-0731 q-0732,q-0266 q-0267 q-0291 q-0295 q-0334 q-0686 q-0688 q-0699 q-0706,q-0268 q-0712,q-0292 q-0694 q-0701,q-0299 q-0685,応用・資料参照不足,基本と計算手順あり。現物給与の金額表を読む演習は不足。,未検証：公式2026年2級テキストの章内全範囲と照合できない
official-06,支給項目関連,割増賃金,算定基礎・時間単価・割増率・時間数・端数から金額を求める,https://jitsumu-up.jp/about/,2級で身につく知識と出題範囲／支給項目関連,q-0147 q-0148 q-0149 q-0150 q-0151 q-0152 q-0153 q-0154 q-0155 q-0158 q-0159 q-0161 q-0162 q-0172 q-0173 q-0175 q-0176 q-0178 q-0180 q-0182 q-0184 q-0185 q-0186 q-0190 q-0191 q-0192 q-0193 q-0196 q-0197 q-0209 q-0210 q-0211 q-0217 q-0218 q-0223 q-0224 q-0230 q-0232 q-0236 q-0678,q-0147 q-0148 q-0149 q-0150 q-0161 q-0176 q-0178 q-0180 q-0182 q-0184 q-0224 q-0232 q-0236 q-0678,q-0160 q-0227 q-0677,q-0228 q-0233,q-0177 q-0179 q-0181 q-0183 q-0229,基本・適用を収録,基本・境界・金額計算あり。模試計算が割増へ偏りやすい点はmock-demand-matrix参照。,未検証：公式2026年2級テキストの章内全範囲と照合できない
official-07,支給項目関連,遅刻早退控除・欠勤控除等と減給の制裁など,規程による不就労控除と労基法91条の減給制裁を分けて適用する,https://jitsumu-up.jp/about/,2級で身につく知識と出題範囲／支給項目関連,q-0237 q-0238 q-0239 q-0240 q-0241 q-0242 q-0243 q-0245 q-0832,q-0237 q-0243 q-0832,q-0256,,q-0246 q-0257,基本・適用を収録,通常コア追加と欠勤検算あり。無給の適用条件を明示。,未検証：公式2026年2級テキストの章内全範囲と照合できない
official-08,支給項目関連,非課税通勤費と課税通勤費,交通手段・片道距離・適用日・駐車場加算から課税部分を求める,https://jitsumu-up.jp/about/,2級で身につく知識と出題範囲／支給項目関連,q-0248 q-0250 q-0252 q-0254 q-0836,q-0248 q-0250 q-0252 q-0254 q-0836,q-0249 q-0251 q-0253 q-0255,,,基本・適用を収録,2026年4月改正表・距離境界・加算計算あり。改正の試験採用は公式教材未検証。,未検証：公式2026年2級テキストの章内全範囲と照合できない
official-09,控除項目関連,控除項目の基礎,控除の根拠と総支給から差引支給までの順序を説明する,https://jitsumu-up.jp/about/,2級で身につく知識と出題範囲／控除項目関連,q-0031 q-0310 q-0312 q-0315 q-0317 q-0319 q-0322 q-0323 q-0324 q-0325 q-0326 q-0330 q-0332 q-0333 q-0686 q-0687 q-0688 q-0692 q-0693 q-0697 q-0698 q-0699 q-0700 q-0702 q-0703 q-0705 q-0706 q-0708 q-0713 q-0717 q-0722 q-0724 q-0725 q-0726 q-0731 q-0732 q-0830,q-0031 q-0310 q-0319 q-0323 q-0324 q-0326 q-0333 q-0686 q-0688 q-0699 q-0706 q-0830,q-0030 q-0712,q-0311 q-0694 q-0701,q-0316 q-0685 q-0829,基本・適用を収録,基本・ケース・差引計算あり。全段階を自力で組み立てる総合計算は十分性未検証。,未検証：公式2026年2級テキストの章内全範囲と照合できない
official-10,控除項目関連,社会保険料の控除,保険の対象・標準額・本人率・対象月・丸めから控除額を求める,https://jitsumu-up.jp/about/,2級で身につく知識と出題範囲／控除項目関連,q-0511 q-0512 q-0513 q-0564 q-0566 q-0568 q-0569 q-0570 q-0571 q-0576 q-0588 q-0639 q-0640 q-0738 q-0740 q-0741 q-0742 q-0743 q-0747 q-0748 q-0750 q-0751 q-0753 q-0759 q-0831,q-0513 q-0564 q-0566 q-0568 q-0569 q-0570 q-0571 q-0576 q-0639 q-0640 q-0740 q-0831,q-0565 q-0567 q-0679 q-0735,q-0577 q-0632 q-0734,q-0749,基本・適用を収録,年度・地域・適用月と月額等級表の参照、境界計算あり。,未検証：公式2026年2級テキストの章内全範囲と照合できない
